address_id	street	floor	postal_code	city	province	country
addr-sh1	Alte Ufergasse 004	 Zimmer 482	1681	 Mattsee	 Wien	 Austria
addr-sh2	Spiesmayrweg 90	 4 OG	8471	 Innerbraz	 Salzburg	 Austria
addr-mnd1	Mühlboden 50b	 Apt. 903	7308	 Feistritz am Wechsel	 Kärnten	 Austria
addr-mnd2	Heideweg 1	 8 OG	6099	 Ilztal	 Niederösterreich	 Austria
addr-cust1-sh1	Brunnelligasse 84b	 Zimmer 431	4914	 Waidhofen an der Thaya	 Vorarlberg	 Austria
addr-cust2-sh1	Zellerstraße 00c	 Zimmer 080	8873	 Velden am Wörther See	 Steiermark	 Austria
addr-cust3-sh1	Schaunbergerstraße 90a	 Zimmer 086	4038	 Eichgraben	 Burgenland	 Austria
addr-cust4-sh1	Tiroler Straße 971	 Apt. 897	4915	 Hausleiten	 Wien	 Austria
addr-cust5-sh1	Köhldorfergasse 07a	 Apt. 011	6254	 Kottes-Purk	 Niederösterreich	 Austria
addr-cust6-sh1	Alpenlandstraße 76c	 Zimmer 854	8113	 Salzburg	 Steiermark	 Austria
addr-cust7-sh1	Wasen 4	 Zimmer 138	8312	 Innerbraz	 Wien	 Austria
addr-cust8-sh1	Ottogasse 30a	 Zimmer 152	3094	 Zell an der Pram	 Oberösterreich	 Austria
addr-cust9-sh1	Zulechnerweg 082	 Apt. 970	7029	 Yspertal	 Burgenland	 Austria
addr-cust10-sh1	Privatweg 44b	 Zimmer 944	8486	 Oed-Oehling	 Vorarlberg	 Austria
addr-cust11-sh1	Hauptplatz 78	 1 OG	1462	 Marbach an der Donau	 Kärnten	 Austria
addr-cust12-sh1	Ringweg 9	 Apt. 890	7966	 Waidhofen an der Thaya	 Burgenland	 Austria
addr-cust13-sh1	Fuchsgrubenweg 17c	 4 OG	3012	 Feistritz am Wechsel	 Oberösterreich	 Austria
addr-cust14-sh1	Steingrüneredt 40b	 4 OG	1413	 Tragwein	 Steiermark	 Austria
addr-cust15-sh1	Zebragasse 406	 Zimmer 974	4180	 Dornbirn	 Oberösterreich	 Austria
addr-cust16-sh1	Nordwestbahnbrücke 0	 4 OG	1387	 Zeillern	 Wien	 Austria
addr-cust17-sh1	Malerweg 29b	 Zimmer 979	8153	 St. Veit an der Glan	 Wien	 Austria
addr-cust18-sh1	Seestraße 03	 Apt. 429	1342	 Fritzens	 Oberösterreich	 Austria
addr-cust19-sh1	Steingrüneredt 6	 6 OG	2387	 Ilz	 Vorarlberg	 Austria
addr-cust20-sh1	Spargelfeldgasse 18b	 5 OG	3818	 Kirchdorf am Inn	 Steiermark	 Austria
addr-cust21-sh1	Thomas Koschat-Gasse 97c	 6 OG	7012	 Dornbirn	 Vorarlberg	 Austria
addr-cust22-sh1	Musikpavillon Riezlern 10	 Zimmer 644	5900	 Fiss	 Kärnten	 Austria
addr-cust23-sh1	Tennweg 67b	 Apt. 784	3498	 Viehhofen	 Tirol	 Austria
addr-cust24-sh1	Birkenweg 04	 4 OG	1232	 Kirchdorf am Inn	 Burgenland	 Austria
addr-cust25-sh1	Spiesmayrweg 557	 Apt. 941	6022	 Itter	 Vorarlberg	 Austria
addr-cust26-sh1	Hauptplatz 28a	 2 OG	5527	 Zell am Pettenfirst	 Tirol	 Austria
addr-cust27-sh1	Leifling 7	 Apt. 492	7757	 Dornbirn	 Wien	 Austria
addr-cust28-sh1	Lindenweg 6	 6 OG	8967	 Klagenfurt	 Salzburg	 Austria
addr-cust29-sh1	Alpenlandstraße 39	 1 OG	9980	 Unterauersbach	 Oberösterreich	 Austria
addr-cust30-sh1	Uferstraße (Schwarzau am Steinfeld) 2	 Zimmer 300	6345	 Übersbach	 Tirol	 Austria
addr-cust31-sh1	Anton Wildgans-Straße 40a	 1 OG	9450	 Fritzens	 Salzburg	 Austria
addr-cust32-sh1	Dr.Karl Holoubek-Str. 9	 Apt. 979	5748	 Viehhofen	 Niederösterreich	 Austria
addr-cust33-sh1	Wasen 28a	 Apt. 695	1649	 Eichgraben	 Niederösterreich	 Austria
addr-cust34-sh1	Musikpavillon Riezlern 35b	 Zimmer 370	7050	 Graz	 Kärnten	 Austria
addr-cust35-sh1	Lackenweg 514	 Apt. 111	5027	 Lech	 Salzburg	 Austria
addr-cust36-sh1	Bühelweg 64	 Apt. 111	5694	 Axams	 Steiermark	 Austria
addr-cust37-sh1	Radetzkystraße 97a	 Zimmer 892	3781	 Raiding	 Oberösterreich	 Austria
addr-cust38-sh1	Unterer Sonnrainweg 704	 7 OG	4458	 Turnau	 Vorarlberg	 Austria
addr-cust39-sh1	Musikpavillon Riezlern 6	 0 OG	7549	 Zell am Pettenfirst	 Salzburg	 Austria
addr-cust40-sh1	Strassfeld 04	 Zimmer 799	5638	 Unterauersbach	 Vorarlberg	 Austria
addr-cust41-sh1	Am Sternweg 83b	 8 OG	3434	 Jungholz	 Vorarlberg	 Austria
addr-cust42-sh1	Hermann von Gilmweg 614	 Zimmer 696	4424	 Niederleis	 Vorarlberg	 Austria
addr-cust43-sh1	Bahnhofstraße 684	 Apt. 646	7048	 Breitenbach am Inn	 Kärnten	 Austria
addr-cust44-sh1	Jochriemgutstraße 6	 Apt. 777	4093	 Kottes-Purk	 Wien	 Austria
addr-cust45-sh1	Ahorngasse (St. Andrä) 27a	 Zimmer 219	7676	 Lech	 Tirol	 Austria
addr-cust46-sh1	Bahnstraße (Gerhaus) 01b	 Apt. 541	3674	 Bergern im Dunkelsteinerwald	 Burgenland	 Austria
addr-cust47-sh1	Moosbachgasse 55	 Apt. 431	5803	 Hochwolkersdorf	 Burgenland	 Austria
addr-cust48-sh1	Unterer Sonnrainweg 51c	 Apt. 303	3567	 Pilgersdorf	 Niederösterreich	 Austria
addr-cust49-sh1	Gösting 2	 3 OG	4294	 Hinterhornbach	 Steiermark	 Austria
addr-cust50-sh1	Zwergjoch 54c	 Zimmer 422	3879	 Lech	 Kärnten	 Austria
addr-cust51-sh1	Am Färberberg 95c	 1 OG	2199	 Linz	 Niederösterreich	 Austria
addr-cust52-sh1	Wasen 60b	 Apt. 644	4575	 Tragwein	 Tirol	 Austria
addr-cust53-sh1	Kinderheimgasse 980	 Apt. 816	3778	 Eichgraben	 Tirol	 Austria
addr-cust54-sh1	Alte Poststraße 45c	 Apt. 128	2644	 Dornbirn	 Tirol	 Austria
addr-cust55-sh1	Hochhaus Neue Donau 18a	 Apt. 000	7045	 Axams	 Tirol	 Austria
addr-cust56-sh1	Luegstraße 51a	 Apt. 815	2509	 Innerbraz	 Burgenland	 Austria
addr-cust57-sh1	Ahorngasse (St. Andrä) 09b	 6 OG	4629	 Oed-Oehling	 Niederösterreich	 Austria
addr-cust58-sh1	Tiroler Straße 45a	 Apt. 800	7783	 Baumgartenberg	 Burgenland	 Austria
addr-cust59-sh1	Hainschwang 52b	 Zimmer 177	2263	 Uttendorf	 Oberösterreich	 Austria
addr-cust60-sh1	Fuchsgrubenweg 669	 9 OG	6498	 Itter	 Kärnten	 Austria
addr-cust61-sh1	Leifling 662	 2 OG	8944	 Unterauersbach	 Vorarlberg	 Austria
addr-cust62-sh1	Neustiftgasse 72	 Zimmer 441	8601	 Axams	 Wien	 Austria
addr-cust63-sh1	Bruderhofgasse 2	 Zimmer 454	5244	 Übelbach	 Burgenland	 Austria
addr-cust64-sh1	Privatweg 352	 6 OG	3343	 St. Pölten	 Niederösterreich	 Austria
addr-cust65-sh1	Höggen 438	 Zimmer 065	1597	 Neukirchen an der Enknach	 Niederösterreich	 Austria
addr-cust66-sh1	Reitschulgasse 98	 7 OG	2425	 Neukirchen an der Enknach	 Steiermark	 Austria
addr-cust67-sh1	Tiroler Straße 3	 Zimmer 808	9799	 Ungerdorf	 Steiermark	 Austria
addr-cust68-sh1	Teichstraße 34	 Zimmer 467	6940	 Marbach an der Donau	 Salzburg	 Austria
addr-cust69-sh1	Koloniestraße 10a	 Zimmer 926	7091	 Neudorf bei Staatz	 Vorarlberg	 Austria
addr-cust70-sh1	Musikpavillon Riezlern 80b	 6 OG	5589	 Übelbach	 Wien	 Austria
addr-cust71-sh1	Tennweg 05b	 Apt. 903	6048	 Linz	 Steiermark	 Austria
addr-cust72-sh1	Darnautgasse 334	 0 OG	4855	 Kirchdorf am Inn	 Steiermark	 Austria
addr-cust73-sh1	Hans-Mauracher-Straße 26a	 0 OG	8720	 Mauterndorf	 Oberösterreich	 Austria
addr-cust74-sh1	Sportplatzstraße 17a	 Apt. 669	9840	 Überackern	 Kärnten	 Austria
addr-cust75-sh1	Schaunbergerstraße 43c	 Zimmer 865	2069	 Trebesing	 Salzburg	 Austria
addr-cust76-sh1	Wasen 45c	 7 OG	1412	 Fiss	 Oberösterreich	 Austria
addr-cust77-sh1	Straßerau 87a	 Apt. 303	2103	 Kirchdorf am Inn	 Burgenland	 Austria
addr-cust78-sh1	Fritz-Pregl-Straße 490	 4 OG	1629	 Purbach am Neusiedler See	 Oberösterreich	 Austria
addr-cust79-sh1	Flurweg 4	 Zimmer 133	9721	 Gößnitz	 Niederösterreich	 Austria
addr-cust80-sh1	Hernstorferstraße 63	 3 OG	5288	 Jungholz	 Steiermark	 Austria
addr-cust81-sh1	Niederegg 270	 Zimmer 463	9145	 Neustift an der Lafnitz	 Vorarlberg	 Austria
addr-cust82-sh1	Alte Poststraße 8	 Apt. 065	7983	 Oberwaltersdorf	 Oberösterreich	 Austria
addr-cust83-sh1	Koloniestraße 75b	 4 OG	5581	 Geiersberg	 Wien	 Austria
addr-cust84-sh1	Janzgasse 22c	 Zimmer 356	2985	 Ilztal	 Salzburg	 Austria
addr-cust85-sh1	Am Kronawett (Hagenbrunn) 37a	 Apt. 283	1599	 Unterauersbach	 Oberösterreich	 Austria
addr-cust86-sh1	Feichteggerwiese 65	 6 OG	8276	 Klagenfurt	 Wien	 Austria
addr-cust87-sh1	Klingergasse 11a	 6 OG	9695	 Preitenegg	 Burgenland	 Austria
addr-cust88-sh1	Verwaltersiedlung 29a	 Apt. 118	2970	 Ungerdorf	 Kärnten	 Austria
addr-cust89-sh1	Steilmannstraße 42a	 Apt. 510	6027	 Gößnitz	 Tirol	 Austria
addr-cust90-sh1	Mitterweg 59c	 0 OG	9654	 Innerbraz	 Burgenland	 Austria
addr-cust91-sh1	Blattur 40	 Zimmer 372	3459	 Bregenz	 Oberösterreich	 Austria
addr-cust92-sh1	Kahlenberger Straße 41b	 Zimmer 672	3107	 Marbach an der Donau	 Kärnten	 Austria
addr-cust93-sh1	Wasen 66a	 Apt. 384	9271	 Fritzens	 Burgenland	 Austria
addr-cust94-sh1	Bahnhofstraße 293	 Apt. 992	8282	 Linz	 Niederösterreich	 Austria
addr-cust95-sh1	Prixgasse 8	 6 OG	1564	 Pollham	 Tirol	 Austria
addr-cust96-sh1	Ahorngasse (St. Andrä) 44c	 3 OG	7454	 Gams bei Hieflau	 Steiermark	 Austria
addr-cust97-sh1	Seestraße 82b	 5 OG	8900	 Sankt Johann im Saggautal	 Oberösterreich	 Austria
addr-cust98-sh1	Gröretgasse 4	 0 OG	5298	 Linz	 Oberösterreich	 Austria
addr-cust99-sh1	Kegelprielstraße 102	 6 OG	2678	 Eben im Pongau	 Steiermark	 Austria
addr-cust100-sh1	Gröretgasse 40	 4 OG	4721	 Axams	 Vorarlberg	 Austria
addr-cust1-sh2	Grub 25	 0 OG	3205	 Mattsee	 Tirol	 Austria
addr-cust2-sh2	Torrogasse 32c	 Apt. 380	2435	 Finkenberg	 Niederösterreich	 Austria
addr-cust3-sh2	Donaugasse 7	 Zimmer 333	8871	 Villach	 Burgenland	 Austria
addr-cust4-sh2	Kerpelystraße 03b	 Zimmer 312	6266	 Villach	 Wien	 Austria
